nombre,operador,estado,fechaPuestaOperacion,tipoUso,subestacionOrigen,subestacionDestino,voltajeNominalKV,corrienteNominalA,capacidadMW,longitudKm,municipio,departamento,subarea
BARRANCA - BUENAVISTA 1 115 kV,ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,Operación,16/04/2018,Uso STR,BUENAVISTA,BARRANCA,115.0,530.0,100.29,12.12,BARRANCABERMEJA,SANTANDER,SubArea Santander
BARRANCA - PUERTO WILCHES 1 115 kV,ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,Operación,12/08/2013,Uso STR,PUERTO WILCHES,BARRANCA,115.0,726.0,137.38,37.5,PUERTO WILCHES,SANTANDER,SubArea Santander
BARRANCA - SAN SILVESTRE 1 115 kV,ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,Operación,01/01/2001,Uso STR,SAN SILVESTRE,BARRANCA,115.0,530.0,100.29,8.61,BARRANCABERMEJA,SANTANDER,SubArea Santander
BUENAVISTA - LIZAMA 1 115 kV,ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,Operación,16/04/2018,Uso STR,LIZAMA,BUENAVISTA,115.0,530.0,100.29,36.49,BARRANCABERMEJA,SANTANDER,SubArea Santander
BARRANCA - PUERTO WILCHES 2 115 kV,ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,Operación,28/12/2019,Uso STR,PUERTO WILCHES,BARRANCA,115.0,500.0,94.61,34.1,PUERTO WILCHES,SANTANDER,SubArea Santander
FLORIDA (BUCARAMANGA) - RIO FRIO 1 115 KV,ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,Operación,30/11/2020,Uso STR,FLORIDA (BUCARAMANGA),RIO FRIO,115.0,584.0,110.51,3.58,FLORIDABLANCA,SANTANDER,SubArea Santander
PIEDECUESTA - RIO FRIO 1 115 KV,ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,Operación,30/11/2020,Uso STR,PIEDECUESTA,RIO FRIO,115.0,525.0,99.34,11.95,PIEDECUESTA,SANTANDER,SubArea Santander
BUCARAMANGA - FLORIDA (BUCARAMANGA) 1 115 KV,ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,Operación,30/11/2020,Uso STR,BUCARAMANGA,FLORIDA (BUCARAMANGA),115.0,792.0,149.87,1.65,BUCARAMANGA,SANTANDER,SubArea Santander
HIDROSOGAMOSO - SOGAMOSO 2 230 kV,ISA INTERCOLOMBIA S.A. E.S.P.,Operación,01/12/2014,Del OR al STN,SOGAMOSO,,230.0,743.0,281.19,6.7,BETULIA,SANTANDER,SubArea Santander
HIDROSOGAMOSO - SOGAMOSO 1 230 kV,ISA INTERCOLOMBIA S.A. E.S.P.,Operación,20/12/2014,Del OR al STN,SOGAMOSO,,230.0,743.0,281.19,6.7,BETULIA,SANTANDER,SubArea Santander
HIDROSOGAMOSO - SOGAMOSO 3 230 KV,ISA INTERCOLOMBIA S.A. E.S.P.,Operación,20/12/2014,Del OR al STN,SOGAMOSO,,230.0,743.0,281.19,6.6,BETULIA,SANTANDER,SubArea Santander
